STATE,C1_HLTH_DEFS_CNT,C1_FS_DEFS_CNT,C2_HLTH_DEFS_CNT,C2_FS_DEFS_CNT,C3_HLTH_DEFS_CNT,C3_FS_DEFS_CNT,aidhrd,vochrd,rnhrd,totlichrd,tothrd,pthrd,FINE_CNT,FINE_TOT,QM401,QM402,QM403,QM404,QM405,QM406,QM407,QM408,QM409,QM410,QM411,QM415,QM419,QM424,QM425,QM426,QM430,QM434,QM451,QM452,QM471,QM521,QM522,QM523,FILEDATE
PR,15,0.2,21.6,0.8,20.5,3,0,2.82,3.06,5.88,5.88,0.54,1.6,22614,,,,,,,,0,0,0,90,96.428571,0,40.650497,0.29802,94.66539,95.205303,0.883412,,20,77.794657,26.05056,12.16934,64.957296,10/1/2016
RI,1.8,0.4,2.2,0.7,1.9,0.1,2.65,0.31,1.03,1.35,3.99,0.06,0.1,705,15.521146,6.498655,4.189784,6.193836,42.535476,2.291108,4.90989,3.653703,0.116007,3.293997,96.440246,95.081816,17.331111,18.695096,1.257955,82.333445,81.040669,1.799209,18.487224,16.264231,71.303711,22.820783,12.049234,56.765547,10/1/2016
SC,5.8,1.5,6.5,1.4,5.5,1,2.56,0.97,0.95,1.92,4.48,0.13,0.4,23147,14.972846,6.910602,6.575022,8.668186,54.166483,2.199087,6.307778,1.428692,1.772362,3.20297,94.35477,95.391233,14.184394,14.585972,1.018574,83.316994,84.409651,2.049488,19.869613,26.673588,62.771117,22.4264,12.583789,59.263072,10/1/2016
SD,5.5,0.9,6.7,0.9,6.1,0.9,2.47,0.38,0.85,1.23,3.71,0.06,0.1,1137,17.711453,11.294706,4.674766,7.322647,44.683615,3.794129,4.819314,5.618251,0.595707,5.523333,97.204445,94.692387,16.309082,18.056336,1.581329,80.171609,79.497869,2.114346,19.575633,19.07629,75.178799,20.309732,9.877813,58.560625,10/1/2016
TN,4.9,4.2,5.2,3.1,6.2,2.8,2.33,1.11,0.76,1.87,4.2,0.11,0.2,23690,16.188314,5.762673,5.345636,8.078232,54.199703,2.840277,5.562328,2.531696,1.737536,3.339267,93.169693,91.437086,19.416004,14.455216,0.883371,79.835084,81.628138,2.20779,21.256024,36.92572,60.830071,21.773145,12.662228,57.969256,10/1/2016
TX,7,3.7,7.4,3.8,7.8,4.1,2.28,0.96,0.62,1.58,3.86,0.08,0.6,10829,19.322644,7.702218,6.312958,6.069551,47.756015,2.932239,4.542817,5.271214,0.448503,3.596671,91.111433,88.964716,19.76754,15.020475,1.046679,70.493408,72.72254,3.179763,20.944218,27.117685,55.126138,23.612622,12.983397,53.091645,10/1/2016
UT,7.5,3.1,7,3.2,8.1,3.8,2.74,0.56,1.36,1.92,4.66,0.2,0.4,2584,11.425441,10.947826,4.82704,6.752788,49.950915,2.732313,5.459845,10.099815,0.652476,2.852853,94.494338,96.939661,17.448907,19.01941,0.783115,88.23568,91.20461,1.807233,16.135518,31.016763,60.969303,17.046381,11.623666,61.321487,10/1/2016
VA,8.7,2.3,8.8,2.1,8.7,2.1,2.31,1.06,0.77,1.83,4.14,0.12,0.2,10261,16.624007,8.835022,6.001158,7.541371,52.39336,2.36644,5.200167,2.797456,0.528301,3.499579,93.900414,92.632725,16.724941,16.70889,1.053874,81.204349,82.685026,1.949961,21.027935,23.833288,65.366368,22.442763,12.58205,59.376235,10/1/2016
VI,7,0,0,11,9,3,3.37,0.49,0.84,1.33,4.7,0.04,0,0,,,,,,,,,,,48.387097,,,,,51.612903,,,,,,,,,10/1/2016
VT,4.4,0.2,7.9,0.5,8,0.4,2.5,0.73,0.95,1.68,4.18,0.1,0.4,10696,18.358898,10.805453,4.271926,7.556626,50.944121,3.317083,3.423473,9.543907,0.165059,3.764978,95.709671,92.045239,16.631276,19.028268,0.804504,79.955379,79.029285,1.130459,22.395418,20.298926,73.195182,17.905436,13.657491,62.231833,10/1/2016
WA,11.6,2.5,9.4,2.2,8.8,2.1,2.62,0.67,1.15,1.82,4.45,0.16,0.8,4339,13.495281,9.451902,4.616774,6.831597,52.599565,2.770385,4.959296,9.47218,0.732409,2.779038,94.53222,95.162299,15.72808,18.744439,0.796366,83.987284,85.480685,1.651452,17.969232,16.559883,67.202288,18.67389,11.631088,61.680643,10/1/2016
WI,8.4,3.7,7.7,4.1,7.4,4.6,2.58,0.56,1.01,1.58,4.16,0.09,0.5,8057,14.086944,9.107309,4.357494,7.399025,45.940402,3.653467,4.234622,5.591956,0.32344,3.216722,97.004776,97.405625,12.813637,20.373833,1.100126,86.532261,88.858166,1.252308,17.651832,19.657522,72.808892,20.286583,12.361727,60.281472,10/1/2016
WV,8.7,2.3,10.9,1.5,10.4,1.2,2.19,0.95,0.72,1.67,3.86,0.06,0.2,15940,18.391546,8.032912,6.375906,8.453843,42.805028,3.179247,6.693488,5.644808,0.857778,4.023592,95.983643,95.840869,16.01971,19.068292,1.83955,81.664245,82.362094,2.27734,22.407368,27.052337,63.402276,22.804111,14.210452,57.016931,10/1/2016
WY,9.9,3.9,11.3,4.5,9.9,5.6,2.38,0.43,1.33,1.77,4.15,0.08,0,0,17.485287,12.797872,4.430087,6.904427,42.18876,3.075843,5.329619,5.302006,0.749919,4.949346,94.691268,85.396898,12.195748,22.426891,1.010988,75.438911,77.167065,2.220013,17.26115,19.071889,67.898674,20.073923,12.684156,61.749813,10/1/2016
